ann_id,image_id,filename,label,category_id,sam_score,raw_path,bbox_path,mask_path
1,1,001.tiff,hard_negative,2,0.7986368536949158,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_1.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_1.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_1.png
2,1,001.tiff,hard_negative,2,0.7050806879997253,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_2.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_2.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_2.png
3,1,001.tiff,hard_negative,2,0.6875665783882141,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_3.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_3.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_3.png
4,1,001.tiff,hard_negative,2,0.7739673852920532,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_4.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_4.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_4.png
5,2,002.tiff,hard_negative,2,0.7500609755516052,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_5.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_5.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_5.png
6,2,002.tiff,mitotic,1,0.610393762588501,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/mitotic/ann_6.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/mitotic/ann_6.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/mitotic/ann_6.png
7,2,002.tiff,mitotic,1,0.7862224578857422,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/mitotic/ann_7.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/mitotic/ann_7.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/mitotic/ann_7.png
8,2,002.tiff,hard_negative,2,0.8422838449478149,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/hard_negative/ann_8.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/hard_negative/ann_8.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/hard_negative/ann_8.png
9,2,002.tiff,mitotic,1,0.7452566623687744,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/mitotic/ann_9.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/mitotic/ann_9.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/mitotic/ann_9.png
10,2,002.tiff,mitotic,1,0.7363231778144836,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/raw/mitotic/ann_10.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/bbox/mitotic/ann_10.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/patches/mask/mitotic/ann_10.png
