ann_id,image_id,filename,label,category_id,crop_position,cell_x_in_crop,cell_y_in_crop,condition,ground_truth,prediction,confidence,response,explanation
1,1,001.tiff,hard_negative,2,0,64,64,raw,0,1,95,"Yes, 95% confidence. The cell exhibits clearly condensed, irregular chromosomal material characteristic of a mitotic figure, with an absence of a distinct nuclear membrane.","The cell exhibits clearly condensed, irregular chromosomal material characteristic of a mitotic figure, with an absence of a distinct nuclear membrane."
1,1,001.tiff,hard_negative,2,0,64,64,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, homogeneous, and shrunken appearance characteristic of an apoptotic cell (pyknosis) rather than the structured, open configuration of chromosomes in active mitosis.","The cell exhibits a dark, homogeneous, and shrunken appearance characteristic of an apoptotic cell (pyknosis) rather than the structured, open configuration of chromosomes in active mitosis."
1,1,001.tiff,hard_negative,2,0,64,64,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears as a small, uniform, and darkly stained (hyperchromatic) body without any visible chromosomal condensation or the characteristic structural patterns of active mitosis.","The highlighted nucleus appears as a small, uniform, and darkly stained (hyperchromatic) body without any visible chromosomal condensation or the characteristic structural patterns of active mitosis."
2,1,001.tiff,hard_negative,2,0,64,64,raw,0,0,95,"No, 95% confidence. The cell in the upper-left area is a hyperchromatic, round/oval nucleus with an intact nuclear membrane, which is characteristic of a typical breast cancer cell nucleus rather than a mitotic figure.","The cell in the upper-left area is a hyperchromatic, round/oval nucleus with an intact nuclear membrane, which is characteristic of a typical breast cancer cell nucleus rather than a mitotic figure."
2,1,001.tiff,hard_negative,2,0,64,64,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, rounded appearance with an intact nuclear border consistent with a hyperchromatic nucleus rather than the distinct chromosomal arrangement required to define a mitotic figure.","The cell exhibits a dark, rounded appearance with an intact nuclear border consistent with a hyperchromatic nucleus rather than the distinct chromosomal arrangement required to define a mitotic figure."
2,1,001.tiff,hard_negative,2,0,64,64,mask,0,0,95,"No, 95% confidence. The highlighted nucleus is hyperchromatic and shrunken with a round, intact nuclear membrane, which is characteristic of apoptosis rather than the distinct chromosomal architecture required for mitosis.","The highlighted nucleus is hyperchromatic and shrunken with a round, intact nuclear membrane, which is characteristic of apoptosis rather than the distinct chromosomal architecture required for mitosis."
3,1,001.tiff,hard_negative,2,2,64,192,raw,0,1,90,"Yes, 90% confidence. The cell in the lower-left area exhibits a dark, irregular, and condensed chromatin structure with a star-like appearance characteristic of an active mitotic figure, where the nuclear membrane has dissolved.","The cell in the lower-left area exhibits a dark, irregular, and condensed chromatin structure with a star-like appearance characteristic of an active mitotic figure, where the nuclear membrane has dissolved."
3,1,001.tiff,hard_negative,2,2,64,192,bbox,0,0,95,"No, 95% confidence. The cell is a small, hyperchromatic lymphocyte (likely a tumor-infiltrating lymphocyte) with a round, intact nuclear membrane, lacking the characteristic condensed chromosome structures required for a mitotic figure.","The cell is a small, hyperchromatic lymphocyte (likely a tumor-infiltrating lymphocyte) with a round, intact nuclear membrane, lacking the characteristic condensed chromosome structures required for a mitotic figure."
3,1,001.tiff,hard_negative,2,2,64,192,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears as a small, rounded, and condensed hyperchromatic body lacking the organized, radiating, or distinct chromosomal arm structures characteristic of active mitosis.","The highlighted nucleus appears as a small, rounded, and condensed hyperchromatic body lacking the organized, radiating, or distinct chromosomal arm structures characteristic of active mitosis."
4,1,001.tiff,hard_negative,2,1,192,64,raw,0,0,95,"No, 95% confidence. The cell in the upper right exhibits a prominent nucleolus, a round/oval shape, and an intact nuclear membrane, which are characteristic of a hyperchromatic nucleus rather than the condensed, irregular chromosome structure of a mitotic figure.","The cell in the upper right exhibits a prominent nucleolus, a round/oval shape, and an intact nuclear membrane, which are characteristic of a hyperchromatic nucleus rather than the condensed, irregular chromosome structure of a mitotic figure."
4,1,001.tiff,hard_negative,2,1,192,64,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
4,1,001.tiff,hard_negative,2,1,192,64,mask,0,0,95,"No, 95% confidence. The cell nucleus within the green highlighted region is hyperchromatic and retains a distinct, rounded nuclear membrane, lacking the characteristic condensed chromosome arms and chaotic morphology of a mitotic figure.","The cell nucleus within the green highlighted region is hyperchromatic and retains a distinct, rounded nuclear membrane, lacking the characteristic condensed chromosome arms and chaotic morphology of a mitotic figure."
