ann_id,image_id,filename,label,category_id,bbox,crop_position,cell_x_in_crop,cell_y_in_crop,crop_x1,crop_y1,crop_x2,crop_y2,sam_score,raw_path,bbox_path,mask_path
1,1,001.tiff,hard_negative,2,"[4336, 346, 4386, 396]",0,64,64,4297,307,4553,563,0.7986368536949158,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_1.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_1.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_1.png
2,1,001.tiff,hard_negative,2,"[756, 872, 806, 922]",0,64,64,717,833,973,1089,0.7050806879997253,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_2.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_2.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_2.png
3,1,001.tiff,hard_negative,2,"[270, 4044, 320, 4094]",2,64,192,231,3877,487,4133,0.6875665783882141,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_3.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_3.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_3.png
4,1,001.tiff,hard_negative,2,"[6672.5, 706.5, 6722.5, 756.5]",1,192,64,6505,667,6761,923,0.7739673852920532,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_4.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_4.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_4.png
5,2,002.tiff,hard_negative,2,"[1872, 319, 1922, 369]",1,192,64,1705,280,1961,536,0.7500609755516052,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_5.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_5.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_5.png
6,2,002.tiff,mitotic,1,"[4397, 191, 4447, 241]",1,192,64,4230,152,4486,408,0.610393762588501,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/mitotic/ann_6.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/mitotic/ann_6.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/mitotic/ann_6.png
7,2,002.tiff,mitotic,1,"[1842, 1558, 1892, 1608]",0,64,64,1803,1519,2059,1775,0.7862224578857422,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/mitotic/ann_7.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/mitotic/ann_7.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/mitotic/ann_7.png
8,2,002.tiff,hard_negative,2,"[3783, 2346, 3833, 2396]",0,64,64,3744,2307,4000,2563,0.8422838449478149,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/hard_negative/ann_8.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/hard_negative/ann_8.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/hard_negative/ann_8.png
9,2,002.tiff,mitotic,1,"[5319, 3252, 5369, 3302]",3,192,192,5152,3085,5408,3341,0.7452566623687744,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/mitotic/ann_9.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/mitotic/ann_9.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/mitotic/ann_9.png
10,2,002.tiff,mitotic,1,"[6242, 3193, 6292, 3243]",0,64,64,6203,3154,6459,3410,0.7363231778144836,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/raw/mitotic/ann_10.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/bbox/mitotic/ann_10.png,C:/Users/Dell/Downloads/Independent-Study-Project---Mitotic-vqa/notebooks/patches_exp3/mask/mitotic/ann_10.png
