ann_id,image_id,filename,label,category_id,condition,ground_truth,prediction,confidence,response,explanation
1,1,001.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell at the center shows dense, irregularly clumped chromatin with a lack of a clear nuclear membrane, characteristic of a mitotic figure (likely metaphase or anaphase) rather than an apoptotic body.","The cell at the center shows dense, irregularly clumped chromatin with a lack of a clear nuclear membrane, characteristic of a mitotic figure (likely metaphase or anaphase) rather than an apoptotic body."
1,1,001.tiff,hard_negative,2,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits densely packed, irregular, and somewhat angular chromatin structure characteristic of chromosomes during mitosis, lacking an intact nuclear envelope.","The cell exhibits densely packed, irregular, and somewhat angular chromatin structure characteristic of chromosomes during mitosis, lacking an intact nuclear envelope."
1,1,001.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears to be a small, dark, pyknotic apoptotic body, characterized by its smooth, round, shrunken morphology and intact nuclear envelope, rather than having the organized, elongated, or scattered chromosome patterns of active mitosis.","The highlighted nucleus appears to be a small, dark, pyknotic apoptotic body, characterized by its smooth, round, shrunken morphology and intact nuclear envelope, rather than having the organized, elongated, or scattered chromosome patterns of active mitosis."
2,1,001.tiff,hard_negative,2,raw,0,0,95,"No, 95% confidence. The cell at the center of the image has a clearly defined, rounded nuclear envelope and granular, somewhat hyperchromatic chromatin, but it lacks the distinct condensed chromosome structure, star-shaped arrangement, or lack of nuclear membrane characteristic of an active mitotic figure.","The cell at the center of the image has a clearly defined, rounded nuclear envelope and granular, somewhat hyperchromatic chromatin, but it lacks the distinct condensed chromosome structure, star-shaped arrangement, or lack of nuclear membrane characteristic of an active mitotic figure."
2,1,001.tiff,hard_negative,2,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, condensed, and relatively uniform nuclear structure without the distinct, organized chromosomal arms or spindle configurations characteristic of an active mitotic figure.","The cell exhibits a dark, condensed, and relatively uniform nuclear structure without the distinct, organized chromosomal arms or spindle configurations characteristic of an active mitotic figure."
2,1,001.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted region displays an apoptotic cell characterized by a shrunken, pyknotic, and fragmented nucleus with a relatively smooth appearance, lacking the distinct chromosome arrangement and active structure of a mitotic figure.","The highlighted region displays an apoptotic cell characterized by a shrunken, pyknotic, and fragmented nucleus with a relatively smooth appearance, lacking the distinct chromosome arrangement and active structure of a mitotic figure."
3,1,001.tiff,hard_negative,2,raw,0,1,90,"Yes, 90% confidence. The central cell displays highly condensed, irregular, and disorganized chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The central cell displays highly condensed, irregular, and disorganized chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
3,1,001.tiff,hard_negative,2,bbox,0,1,90,"Yes, 90% confidence. The cell exhibits condensed, irregular chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure in the late prophase or prometaphase stage.","The cell exhibits condensed, irregular chromosomal material with a lack of a clear nuclear membrane, characteristic of a mitotic figure in the late prophase or prometaphase stage."
3,1,001.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The cell exhibits a dark, condensed, and relatively spherical appearance consistent with apoptosis or a hyperchromatic nucleus, rather than the organized chromosomal structures characteristic of active mitosis.","The cell exhibits a dark, condensed, and relatively spherical appearance consistent with apoptosis or a hyperchromatic nucleus, rather than the organized chromosomal structures characteristic of active mitosis."
4,1,001.tiff,hard_negative,2,raw,0,1,90,"Yes, 90% confidence. The cell at the center exhibits distinct, condensed chromosomal structures without an intact nuclear membrane, characteristic of a mitotic figure (likely metaphase).","The cell at the center exhibits distinct, condensed chromosomal structures without an intact nuclear membrane, characteristic of a mitotic figure (likely metaphase)."
4,1,001.tiff,hard_negative,2,bbox,0,1,90,"Yes, 90% confidence. The cell within the bounding box exhibits condensed, irregular chromosomal material without a visible nuclear membrane, which is characteristic of the late prophase or metaphase stage of mitosis.","The cell within the bounding box exhibits condensed, irregular chromosomal material without a visible nuclear membrane, which is characteristic of the late prophase or metaphase stage of mitosis."
4,1,001.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted nucleus maintains a generally round, intact nuclear boundary and lacks the distinct, condensed, and organized chromosomal arrangements (such as clear spindle fibers or chromatid separation) characteristic of a definitive mitotic figure.","The highlighted nucleus maintains a generally round, intact nuclear boundary and lacks the distinct, condensed, and organized chromosomal arrangements (such as clear spindle fibers or chromatid separation) characteristic of a definitive mitotic figure."
5,2,002.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark, V-shaped chromosomal material and a lack of a defined nuclear membrane, which are hallmark features of a mitotic figure.","The cell at the center shows clearly condensed, dark, V-shaped chromosomal material and a lack of a defined nuclear membrane, which are hallmark features of a mitotic figure."
5,2,002.tiff,hard_negative,2,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
5,2,002.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The cell appears to be an apoptotic cell, as evidenced by its shrunken, dense, and pyknotic appearance with a relatively well-defined boundary, rather than the organized, star-like, or V-shaped chromosome configurations typical of mitosis.","The cell appears to be an apoptotic cell, as evidenced by its shrunken, dense, and pyknotic appearance with a relatively well-defined boundary, rather than the organized, star-like, or V-shaped chromosome configurations typical of mitosis."
6,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark, and irregularly shaped chromosomal material with no intact nuclear membrane, which is diagnostic of a mitotic figure.","The cell at the center shows clearly condensed, dark, and irregularly shaped chromosomal material with no intact nuclear membrane, which is diagnostic of a mitotic figure."
6,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
6,2,002.tiff,mitotic,1,mask,1,1,95,"Yes, 95% confidence. The cell shows clear, irregular, and condensed chromosomal material arranged in a pattern consistent with an active mitotic figure, with no visible nuclear membrane.","The cell shows clear, irregular, and condensed chromosomal material arranged in a pattern consistent with an active mitotic figure, with no visible nuclear membrane."
7,2,002.tiff,mitotic,1,raw,1,1,100,"Yes, 100% confidence. The cell at the center shows a distinct metaphase mitotic figure with clearly condensed, dark-staining chromosomes arranged in the central area, characteristic of a cell undergoing division.","The cell at the center shows a distinct metaphase mitotic figure with clearly condensed, dark-staining chromosomes arranged in the central area, characteristic of a cell undergoing division."
7,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark chromosomal material with a distinct, irregular, and chaotic arrangement indicative of metaphase mitosis, and lacks an intact nuclear membrane.","The cell clearly exhibits condensed, dark chromosomal material with a distinct, irregular, and chaotic arrangement indicative of metaphase mitosis, and lacks an intact nuclear membrane."
7,2,002.tiff,mitotic,1,mask,1,1,95,"Yes, 95% confidence. The cell shows clear, organized condensation of chromosomes arranged in a distinct, darkened configuration typical of the metaphase stage of mitosis, with no visible nuclear membrane.","The cell shows clear, organized condensation of chromosomes arranged in a distinct, darkened configuration typical of the metaphase stage of mitosis, with no visible nuclear membrane."
8,2,002.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell at the center displays characteristic condensed, dark, and disorganized chromosomal material typical of a mitotic figure, with no visible nuclear membrane.","The cell at the center displays characteristic condensed, dark, and disorganized chromosomal material typical of a mitotic figure, with no visible nuclear membrane."
8,2,002.tiff,hard_negative,2,bbox,0,1,95,"Yes, 95% confidence. The cell shows highly condensed, irregular, and angular chromosomal material characteristic of active mitosis, with the nuclear membrane clearly absent.","The cell shows highly condensed, irregular, and angular chromosomal material characteristic of active mitosis, with the nuclear membrane clearly absent."
8,2,002.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted nucleus appears as a dense, hyperchromatic, and relatively uniform mass lacking the distinct, organized chromosome morphology required to classify it as a mitotic figure.","The highlighted nucleus appears as a dense, hyperchromatic, and relatively uniform mass lacking the distinct, organized chromosome morphology required to classify it as a mitotic figure."
9,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The central cell displays highly condensed, irregular chromatin arranged in a V-shaped pattern with a lack of a discernible nuclear envelope, which is characteristic of a mitotic figure in the metaphase or early anaphase stage.","The central cell displays highly condensed, irregular chromatin arranged in a V-shaped pattern with a lack of a discernible nuclear envelope, which is characteristic of a mitotic figure in the metaphase or early anaphase stage."
9,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell shows highly condensed, irregular, and darkly stained chromosomal material that lacks an intact nuclear membrane, which is characteristic of a mitotic figure (metaphase/anaphase).","The cell shows highly condensed, irregular, and darkly stained chromosomal material that lacks an intact nuclear membrane, which is characteristic of a mitotic figure (metaphase/anaphase)."
9,2,002.tiff,mitotic,1,mask,1,1,90,"Yes, 90% confidence. The highlighted region clearly displays condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The highlighted region clearly displays condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
10,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The central cell displays highly condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane.","The central cell displays highly condensed, irregular, and dark chromosomal material characteristic of an active mitotic figure, with no visible nuclear membrane."
10,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark, angular chromosomal material organized into a distinct mitotic configuration with no visible nuclear membrane, which is characteristic of a mitotic figure.","The cell clearly exhibits condensed, dark, angular chromosomal material organized into a distinct mitotic configuration with no visible nuclear membrane, which is characteristic of a mitotic figure."
10,2,002.tiff,mitotic,1,mask,1,0,95,"No, 95% confidence. The nucleus retains a clearly defined nuclear membrane and uniform staining, characteristic of a non-mitotic hyperchromatic or pyknotic nucleus rather than the condensed, irregular chromosome structure of a mitotic figure.","The nucleus retains a clearly defined nuclear membrane and uniform staining, characteristic of a non-mitotic hyperchromatic or pyknotic nucleus rather than the condensed, irregular chromosome structure of a mitotic figure."
11,2,002.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark chromosomal material arranged in a V-shaped or polar configuration with no visible nuclear membrane, which is characteristic of a mitotic figure in the process of division.","The cell at the center shows clearly condensed, dark chromosomal material arranged in a V-shaped or polar configuration with no visible nuclear membrane, which is characteristic of a mitotic figure in the process of division."
11,2,002.tiff,hard_negative,2,bbox,0,1,95,"Yes, 95% confidence. The cell exhibits clear, dense, and irregular chromatin arrangement characteristic of a mitotic figure, lacking a defined nuclear membrane.","The cell exhibits clear, dense, and irregular chromatin arrangement characteristic of a mitotic figure, lacking a defined nuclear membrane."
11,2,002.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The highlighted nucleus is pyknotic and shrunken with an intact nuclear border, which is characteristic of an apoptotic cell rather than a cell in active mitosis.","The highlighted nucleus is pyknotic and shrunken with an intact nuclear border, which is characteristic of an apoptotic cell rather than a cell in active mitosis."
12,2,002.tiff,hard_negative,2,raw,0,1,90,"Yes, 90% confidence. The cell at the center shows a distinct, dark, irregular, and clumped chromatin configuration that lacks an intact nuclear membrane, which is characteristic of a mitotic figure in the process of division.","The cell at the center shows a distinct, dark, irregular, and clumped chromatin configuration that lacks an intact nuclear membrane, which is characteristic of a mitotic figure in the process of division."
12,2,002.tiff,hard_negative,2,bbox,0,0,95,"No, 95% confidence. The cell exhibits a dark, round, and relatively smooth nuclear morphology consistent with a hyperchromatic or pyknotic nucleus rather than the distinct, condensed chromosome arms required for a mitotic figure.","The cell exhibits a dark, round, and relatively smooth nuclear morphology consistent with a hyperchromatic or pyknotic nucleus rather than the distinct, condensed chromosome arms required for a mitotic figure."
12,2,002.tiff,hard_negative,2,mask,0,0,90,"No, 90% confidence. The cell exhibits a dark, rounded, and smooth appearance with a visible nuclear envelope, which is characteristic of an apoptotic or hyperchromatic cell rather than an active mitotic figure with visible condensed chromosomes.","The cell exhibits a dark, rounded, and smooth appearance with a visible nuclear envelope, which is characteristic of an apoptotic or hyperchromatic cell rather than an active mitotic figure with visible condensed chromosomes."
13,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center shows clearly condensed, dark chromosomal material arranged in a pattern consistent with an active mitotic figure (likely metaphase), with no visible nuclear membrane.","The cell at the center shows clearly condensed, dark chromosomal material arranged in a pattern consistent with an active mitotic figure (likely metaphase), with no visible nuclear membrane."
13,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark, V-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the metaphase stage of mitosis.","The cell clearly exhibits condensed, dark, V-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the metaphase stage of mitosis."
13,2,002.tiff,mitotic,1,mask,1,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed, dark chromosomal material arranged in a central, structured cluster typical of the metaphase stage of mitosis.","The cell clearly exhibits condensed, dark chromosomal material arranged in a central, structured cluster typical of the metaphase stage of mitosis."
14,2,002.tiff,mitotic,1,raw,1,1,95,"Yes, 95% confidence. The cell at the center exhibits classic morphology of a mitotic figure, with condensed, dark, angular, and clumped chromosomal material characteristic of the metaphase or anaphase stage, and an absence of a defined nuclear membrane.","The cell at the center exhibits classic morphology of a mitotic figure, with condensed, dark, angular, and clumped chromosomal material characteristic of the metaphase or anaphase stage, and an absence of a defined nuclear membrane."
14,2,002.tiff,mitotic,1,bbox,1,1,95,"Yes, 95% confidence. The cell shows highly condensed, V-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the anaphase stage of mitosis.","The cell shows highly condensed, V-shaped chromosomal material with no visible nuclear membrane, which is characteristic of the anaphase stage of mitosis."
14,2,002.tiff,mitotic,1,mask,1,1,90,"Yes, 90% confidence. The highlighted nucleus clearly demonstrates condensed, irregular chromosomal material characteristic of the metaphase or early anaphase stage of mitosis, with no visible intact nuclear membrane.","The highlighted nucleus clearly demonstrates condensed, irregular chromosomal material characteristic of the metaphase or early anaphase stage of mitosis, with no visible intact nuclear membrane."
15,2,002.tiff,hard_negative,2,raw,0,1,95,"Yes, 95% confidence. The cell exhibits clear, condensed chromatin in a distinct bi-lobed or V-like structural arrangement characteristic of a mitotic figure, with no visible nuclear membrane.","The cell exhibits clear, condensed chromatin in a distinct bi-lobed or V-like structural arrangement characteristic of a mitotic figure, with no visible nuclear membrane."
15,2,002.tiff,hard_negative,2,bbox,0,1,95,"Yes, 95% confidence. The cell clearly exhibits condensed chromosomes arranged in a distinct, asymmetric, and ""star-burst"" configuration typical of a mitotic figure, with no visible nuclear membrane.","The cell clearly exhibits condensed chromosomes arranged in a distinct, asymmetric, and ""star-burst"" configuration typical of a mitotic figure, with no visible nuclear membrane."
15,2,002.tiff,hard_negative,2,mask,0,1,95,"Yes, 95% confidence. The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure with no visible nuclear membrane.","The cell exhibits clearly condensed, irregular chromosomal material characteristic of an active mitotic figure with no visible nuclear membrane."
16,2,002.tiff,hard_negative,2,raw,0,0,95,"No, 95% confidence. The cell at the center shows a hyperchromatic nucleus with an intact nuclear membrane and lacks the distinct, organized chromosomal condensation patterns characteristic of an active mitotic figure.","The cell at the center shows a hyperchromatic nucleus with an intact nuclear membrane and lacks the distinct, organized chromosomal condensation patterns characteristic of an active mitotic figure."
16,2,002.tiff,hard_negative,2,bbox,0,0,95,"No, 95% confidence. The cell exhibits a hyperchromatic, dense nucleus with a smooth, intact nuclear membrane that lacks the clear, condensed chromosome arms characteristic of an active mitotic figure.","The cell exhibits a hyperchromatic, dense nucleus with a smooth, intact nuclear membrane that lacks the clear, condensed chromosome arms characteristic of an active mitotic figure."
16,2,002.tiff,hard_negative,2,mask,0,0,95,"No, 95% confidence. The nucleus is smooth, round, and intact, which is characteristic of a hyperchromatic or pyknotic resting nucleus rather than the condensed, irregular chromosomal morphology of a mitotic figure.","The nucleus is smooth, round, and intact, which is characteristic of a hyperchromatic or pyknotic resting nucleus rather than the condensed, irregular chromosomal morphology of a mitotic figure."
