folder_type,subfolder,filename,response,yes_no,explanation
raw,hard_negative,ann_1.png,"Yes. The cell exhibits a condensed, darkly stained chromatin mass typical of a mitotic figure, specifically appearing to be in a stage of chromosome alignment or segregation within the glandular lumen.",yes.,"The cell exhibits a condensed, darkly stained chromatin mass typical of a mitotic figure, specifically appearing to be in a stage of chromosome alignment or segregation within the glandular lumen."
raw,hard_negative,ann_100.png,"Yes. The cell at the center exhibits a dark, condensed, and irregularly shaped chromatin mass (chromosomal material) that is characteristic of a mitotic figure, specifically appearing to be in anaphase or telophase.",yes.,"The cell at the center exhibits a dark, condensed, and irregularly shaped chromatin mass (chromosomal material) that is characteristic of a mitotic figure, specifically appearing to be in anaphase or telophase."
raw,hard_negative,ann_101.png,"Yes. The cell at the center exhibits condensed, fragmented chromatin arranged in a dense, irregular configuration characteristic of the metaphase or anaphase stage of mitosis.",yes.,"The cell at the center exhibits condensed, fragmented chromatin arranged in a dense, irregular configuration characteristic of the metaphase or anaphase stage of mitosis."
raw,hard_negative,ann_102.png,"Yes. The cell at the center shows coarse, deeply basophilic, clumped chromatin that is characteristic of the condensation phase of mitosis rather than the vesicular, fine-textured chromatin pattern seen in interphase nuclei.",yes.,"The cell at the center shows coarse, deeply basophilic, clumped chromatin that is characteristic of the condensation phase of mitosis rather than the vesicular, fine-textured chromatin pattern seen in interphase nuclei."
raw,hard_negative,ann_103.png,"Yes. The cell at the center exhibits a dark, condensed, and irregular chromatin pattern consistent with the condensation phase of mitosis, lacking the defined nuclear membrane seen in the surrounding interphase nuclei.",yes.,"The cell at the center exhibits a dark, condensed, and irregular chromatin pattern consistent with the condensation phase of mitosis, lacking the defined nuclear membrane seen in the surrounding interphase nuclei."
raw,hard_negative,ann_104.png,"Yes. The cell at the center exhibits condensed, dark chromatin structures that represent chromosomes organizing at the metaphase plate, characteristic of a mitotic figure.",yes.,"The cell at the center exhibits condensed, dark chromatin structures that represent chromosomes organizing at the metaphase plate, characteristic of a mitotic figure."
raw,hard_negative,ann_105.png,"Yes. The cell at the center exhibits condensed, dark, basophilic chromatin characteristic of a mitotic figure, appearing distinct from the neighboring interphase nuclei.",yes.,"The cell at the center exhibits condensed, dark, basophilic chromatin characteristic of a mitotic figure, appearing distinct from the neighboring interphase nuclei."
raw,hard_negative,ann_109.png,"Yes. The cell at the center exhibits condensed, darkly stained chromatin that is disorganized and lacks a clear nuclear membrane, which are characteristic features of a mitotic figure in this histological context.",yes.,"The cell at the center exhibits condensed, darkly stained chromatin that is disorganized and lacks a clear nuclear membrane, which are characteristic features of a mitotic figure in this histological context."
raw,hard_negative,ann_11.png,"Yes. The cell at the center displays the characteristic features of a mitotic figure, specifically exhibiting condensed, dark-staining chromatin (chromosomes) organized along a central plane, consistent with the metaphase stage of mitosis.",yes.,"The cell at the center displays the characteristic features of a mitotic figure, specifically exhibiting condensed, dark-staining chromatin (chromosomes) organized along a central plane, consistent with the metaphase stage of mitosis."
raw,hard_negative,ann_110.png,"Yes. The cell at the center shows a distinct dark, condensed chromatin structure consistent with the metaphase stage of mitosis.",yes.,"The cell at the center shows a distinct dark, condensed chromatin structure consistent with the metaphase stage of mitosis."
raw,hard_negative,ann_115.png,"Yes. The cell at the center shows a distinct loss of a visible nuclear envelope and condensed, dark-staining chromatin characteristic of a cell in the mitotic phase.",yes.,"The cell at the center shows a distinct loss of a visible nuclear envelope and condensed, dark-staining chromatin characteristic of a cell in the mitotic phase."
raw,hard_negative,ann_117.png,"Yes. The cell at the center displays characteristic chromosomal condensation and alignment typical of a mitotic figure, appearing distinct from the surrounding interphase nuclei.",yes.,"The cell at the center displays characteristic chromosomal condensation and alignment typical of a mitotic figure, appearing distinct from the surrounding interphase nuclei."
raw,hard_negative,ann_119.png,"Yes. The cell at the center exhibits hyperchromatic, dense basophilic material corresponding to condensed chromatin characteristic of the prophase or metaphase stage of mitosis.",yes.,"The cell at the center exhibits hyperchromatic, dense basophilic material corresponding to condensed chromatin characteristic of the prophase or metaphase stage of mitosis."
raw,hard_negative,ann_12.png,"Yes. The cell at the center displays chromatin condensation into distinct, deeply basophilic, irregular configurations characteristic of a mitotic figure, contrasting with the typical interphase nuclei seen in the surrounding cells.",yes.,"The cell at the center displays chromatin condensation into distinct, deeply basophilic, irregular configurations characteristic of a mitotic figure, contrasting with the typical interphase nuclei seen in the surrounding cells."
raw,hard_negative,ann_121.png,"Yes, the cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, likely in the metaphase or anaphase stage.","yes,","the cell at the center exhibits condensed, dark chromatin characteristic of a mitotic figure, likely in the metaphase or anaphase stage."
raw,hard_negative,ann_122.png,"Yes. The cell at the center exhibits condensed, dark-staining chromatin characteristic of a mitotic figure, appearing distinct from the neighboring cells with clearly defined nuclear envelopes.",yes.,"The cell at the center exhibits condensed, dark-staining chromatin characteristic of a mitotic figure, appearing distinct from the neighboring cells with clearly defined nuclear envelopes."
